Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG;Vegetationtype;Label2;Startyear;Time
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-cont-6-2;6;C;alpine grassland;Alpine grassland;Swi_CLA_APL_cont;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-OTC-15-1;15;OTC;alpine grassland;Alpine grassland;Sw_CLA_15A_OTC;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-OTC-15-2;15;OTC;alpine grassland;Alpine grassland;Sw_CLA_15B_OTC;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-OTC-20-1;20;OTC;alpine grassland;Alpine grassland;Sw_CLA_P_5A_OTC;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-OTC-20-2;20;OTC;alpine grassland;Alpine grassland;Sw_CLA_20B_OTC;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-OTC-6-1;6;OTC;alpine grassland;Alpine grassland;Swi_CLA_ALC_60_TCA;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-OTC-6-2;6;OTC;alpine grassland;Alpine grassland;Swi_Swi_CLA_ALP_6B_OTC;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-cont-14-1;14;C;alpine grassland;Alpine grassland;Sw_JAT_14A_AMBI;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-cont-14-2;14;C;alpine grassland;Alpine grassland;Sw_JAT_14B_AMBI;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-cont-19-1;19;C;alpine grassland;Alpine grassland;Sw_JAT_19A_AMBI;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-cont-19-2;19;C;alpine grassland;Alpine grassland;Sw_JAT_19B_AMBI;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-cont-6-1;6;C;alpine grassland;Alpine grassland;Sw_JAT_6A_AMBI;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-cont-6-2;6;C;alpine grassland;Alpine grassland;Sw_JAT_6B_AMBI;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-OTC-14-1;14;OTC;alpine grassland;Alpine grassland;Sw_JAT_14_OTC_A;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-OTC-14-2;14;OTC;alpine grassland;Alpine grassland;Sw_JAT_14_OTC_B;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-OTC-19-1;19;OTC;alpine grassland;Alpine grassland;Sw_JAT_19_OTC_A;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-OTC-6-1;6;OTC;alpine grassland;Alpine grassland;Sw_JAT_6A_OTC;2023;1,00
25.ch;Davos;46,76;9,8578;-2,45;1660;2320;2;25-ch-OTC-6-2;6;OTC;alpine grassland;Alpine grassland;Sw_JAT_6_OTC_B;2023;1,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-cont-1-1;1;C;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_cont_11;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-cont-2-2;2;C;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_cont_22;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-cont-3-1;3;C;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_cont_31;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-cont-3-2;3;C;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_cont_32_1;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-cont-4-1;4;C;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_cont_41;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-1-1;1;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_11;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-1-2;1;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_12;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-2-1;2;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_21;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-3-1;3;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_31;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-3-2;3;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_32;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-4-1;4;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_41;2017;7,00
ad.ad;Andorra;42,62;14,8186;0,55;1560,4;2535;8;Ad-ad-OTC-4-2;4;OTC;Salix herbacea snowbed;Shrub snowbed;Ad_AdAd_OTC_42;2017;7,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-cont-1;1;C;Wet Meadow;Wet meadow tundra;Us_1w_OTC_11_R;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-cont-13;2;C;Wet Meadow;Wet meadow tundra;Us_1W_CTL_13_1;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-cont-17;3;C;Wet Meadow;Wet meadow tundra;Us_1w_OTC_171;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-cont-9;4;C;Wet Meadow;Wet meadow tundra;Us_1w_OTC_0901;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-OTC-1;5;OTC;Wet Meadow;Wet meadow tundra;Us_1w_OTC_11;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-OTC-15;6;OTC;Wet Meadow;Wet meadow tundra;Us_1w_OTC_15_1;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-OTC-5;7;OTC;Wet Meadow;Wet meadow tundra;Us_1w_OTC_5_1;1996;28,00
aw.us;Atqasuk;64,13;-157,4003018;-10,65;260,7;17;29;Aw-us-OTC-9;8;OTC;Wet Meadow;Wet meadow tundra;Us_1w_OTC_09_1;1996;28,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-cont-10D;11;C;Alpine Dryas heath;Heath;No_C10D_Finse_1_1;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-cont-1A;4;C;Alpine Dryas heath;Heath;No_FC_control_C1A;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-cont-2A;2;C;Alpine Dryas heath;Heath;Fi_Fi_No_C2_A1_2;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-cont-3D;1;C;Alpine Dryas heath;Heath;No_Fr_No_C3D1;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-cont-5D;8;C;Alpine Dryas heath;Heath;No_C_CSO_Finse_1;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-cont-6A;9;C;Alpine Dryas heath;Heath;No_C6A_control_Finse;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-OTC-10C;10;OTC;Alpine Dryas heath;Heath;No_OTC_010_C_Finse_1;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-OTC-2D;7;OTC;Alpine Dryas heath;Heath;No_Fi_No_OTC_02D;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-OTC-3A;3;OTC;Alpine Dryas heath;Heath;No_Fi_No_OTC_03A;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-OTC-4B;5;OTC;Alpine Dryas heath;Heath;No_Finse_OTC_04_B1;2000;24,00
fi.no;Finse;60,61;7,5046;-0,35;1655,2;1500;25;Fi-no-OTC-5B;6;OTC;Alpine Dryas heath;Heath;No_Finse_OTC_05B;2000;24,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-cont-1P;1;C;permafrost palsa;Shrub snowbed;No_Fn_Pa_1PC_1;2019;5,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-cont-3P;3;C;permafrost palsa;Shrub snowbed;No_Fn_Pa_3_PC_1;2019;5,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-cont-4P;4;C;permafrost palsa;Shrub snowbed;No_Fn_Pa_4_Pc;2019;5,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-cont-BP;2;C;permafrost palsa;Shrub snowbed;No_Fn_Pa_BP_C1;2019;5,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-OTC-3P;3;OTC;permafrost palsa;Shrub snowbed;No_Fn_Pa_3P_OTC_1;2019;5,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-OTC-4P;4;OTC;permafrost palsa;Shrub snowbed;No_Fr_Pa_4P_OTC;2019;5,00
fn.pa.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-pa-no-OTC-BP;2;OTC;permafrost palsa;Shrub snowbed;No_Fr_Pa_BP_OTC_1;2019;5,00
fn.th.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-th-no-cont-3M;5;C;thawslump;Moss snowbed;No_Fn_Th_03_MC_1;2019;5,00
fn.th.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-th-no-cont-4M;6;C;thawslump;Moss snowbed;No_Fn_Th_4_MC;2019;5,00
fn.th.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-th-no-cont-BM;7;C;thawslump;Moss snowbed;No_Fr_Th_BM_C1;2019;5,00
fn.th.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-th-no-OTC-3M;5;OTC;thawslump;Moss snowbed;No_Fn_Th_3M_OTC;2019;5,00
fn.th.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-th-no-OTC-4M;6;OTC;thawslump;Moss snowbed;No_Fn_Th_4M_OTC;2019;5,00
fn.th.no;Finnmark;69,3;25,3685004;-1,85;687,6;612;6;Fn-th-no-OTC-BM;7;OTC;thawslump;Moss snowbed;No_Fn_Th_BM_OTC_1;2019;5,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-cont-1;1;C;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_1_K;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-cont-2;2;C;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_2_Ki;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-cont-3;3;C;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_K3;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-cont-4;4;C;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_4K;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-cont-5;5;C;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_5_K;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-OTC-1;1;OTC;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_1_OTC;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-OTC-2;2;OTC;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_OTC_2;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-OTC-3;3;OTC;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_3_OTC;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-OTC-4;4;OTC;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_4_OTC;1994;30,00
ki.fi;Kilpisjärvi;69,4;20,49;-4,35;1247,7;670;31;Ki-fi-OTC-5;5;OTC;Subarctic heath (Vaccinium myrtillus + V. vitis-idaea dominated);Moss snowbed;Fi_Ki_5_OTC;1994;30,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-cont-2;2;C;dwarf shrub heath;Heath;Gl_C21_1;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-cont-3;3;C;dwarf shrub heath;Heath;Gl_C31;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-cont-4;4;C;dwarf shrub heath;Heath;Gl_KOGl_C4_6;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-cont-5;5;C;dwarf shrub heath;Heath;Gl_KOGl_C5_9;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-cont-6;6;C;dwarf shrub heath;Heath;Gl_C_61;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-OTC-2;2;OTC;dwarf shrub heath;Heath;Gl_T21_2;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-OTC-3;3;OTC;dwarf shrub heath;Heath;Gl_3T1;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-OTC-4;4;OTC;dwarf shrub heath;Heath;Gl_Gl_T4_5;2008;16,00
ko.gl;Kobbefjord;64,13;-51,34375803;-3,35;1146,3;27;17;Ko-gl-OTC-5;5;OTC;dwarf shrub heath;Heath;Gl_K05T_8;2008;16,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-22-XXX;6;C;alpine_grassland;Alpine grassland;Us_Us_Nr_22_XXX;2007;17,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-24-XXX;5;C;alpine_grassland;Alpine grassland;Us_Nr_24_XXX;2007;17,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-33-XXX;1;C;alpine_grassland;Alpine grassland;Us_Nr_33_XXY;2007;17,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-6-XXX;3;C;alpine_grassland;Alpine grassland;Us_Nr6_XXX;2007;17,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-18-XXW;4;OTC;alpine_grassland;Alpine grassland;Us_Nr_18_XXW;2007;17,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-21-XXW;7;OTC;alpine_grassland;Alpine grassland;Us_Nr_21_XXW;2007;17,00
nr.us;Niwotridge;64,13;-105,589602;-2,35;1095,5;3528;18;Nr-us-38-XXW;2;OTC;alpine_grassland;Alpine grassland;Nr_38_XXW;2007;17,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-cont-1-1;1;C;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_cont_11;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-cont-3-1;3;C;Salix herbacea snowbed;Shrub snowbed;Pc-fr-cont-3-1;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-cont-3-2;3;C;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_cont_32;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-cont-4-1;4;C;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_cont_41;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-cont-4-2;4;C;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_cont_42;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-OTC-1-1;1;OTC;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_OTC_11_1;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-OTC-2-1;2;OTC;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_OTC_21_1;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-OTC-3-1;3;OTC;Salix herbacea snowbed;Shrub snowbed;Pc-fr-OTC-3-1;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-OTC-3-2;3;OTC;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_OTC_32;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-OTC-4-1;4;OTC;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_OTC_41;2017;7,00
pc.fr;PasdelaCasa;43;17;3,05;1209,8;2093;8;Pc-fr-OTC-4-2;4;OTC;Salix herbacea snowbed;Shrub snowbed;Fr_Pc_OTC_42;2017;7,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B1;1;C;alpine_grassland;Alpine grassland;I_A2_3;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B2-1;2;C;alpine_grassland;Alpine grassland;I_G8_3;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B2-2;2;C;alpine_grassland;Alpine grassland;I_E8_3;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B3;3;C;alpine_grassland;Alpine grassland;It_Pg_B3C2;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B4-1;4;C;alpine_grassland;Alpine grassland;I_A8_2;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B4-2;4;C;alpine_grassland;Alpine grassland;I_A4_4;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B5-1;5;C;alpine_grassland;Alpine grassland;I_E6_3;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-cont-B5-2;5;C;alpine_grassland;Alpine grassland;I_A2_2;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B1;1;OTC;alpine_grassland;Alpine grassland;I_E2_3;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B1-1-1yr;1;OTC;alpine_grassland;Alpine grassland;I_G2_3;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B1-2-1yr;1;OTC;alpine_grassland;Alpine grassland;I_C2_2;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B2;2;OTC;alpine_grassland;Alpine grassland;I_C4_3;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B2-1-1yr;2;OTC;alpine_grassland;Alpine grassland;I_C4_2;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B2-2-1yr;2;OTC;alpine_grassland;Alpine grassland;Pg-it-OTC-B2-2-1yr;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B3;3;OTC;alpine_grassland;Alpine grassland;I_G6_6;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B3-1-1yr;3;OTC;alpine_grassland;Alpine grassland;I_E2_6;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B3-2-1yr;3;OTC;alpine_grassland;Alpine grassland;I_E6_6;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B4;4;OTC;alpine_grassland;Alpine grassland;I_C4_4;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B4-1-1yr;4;OTC;alpine_grassland;Alpine grassland;I_F10_1;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B4-2-1yr;4;OTC;alpine_grassland;Alpine grassland;I_E10_5;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B5;5;OTC;alpine_grassland;Alpine grassland;I_E4_5;2020;4,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B5-1-1yr;5;OTC;alpine_grassland;Alpine grassland;I_A2_5;2023;1,00
Pga1;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;5;Pg-it-OTC-B5-2- 1yr;5;OTC;alpine_grassland;Alpine grassland;I_C4_5;2023;1,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-P1;1;C;Tundra;Moss snowbed;I_A10_5;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-P2;2;C;Tundra;Moss snowbed;I_E4_3;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-P3;3;C;Tundra;Moss snowbed;I_G6_2;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-P4;4;C;Tundra;Moss snowbed;I_E6_2;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-P5;5;C;Tundra;Moss snowbed;I_A6_3;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-P1;1;OTC;Tundra;Moss snowbed;I_C8_2;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-P2;2;OTC;Tundra;Moss snowbed;I_F6_1;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-P3;3;OTC;Tundra ;Moss snowbed;I_A4_3;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-P4;4;OTC;Tundra ;Moss snowbed;I_E10_3;2008;16,00
Pga2;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-P5;5;OTC;Tundra ;Moss snowbed;I_G4_2;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-S1;1;C;alpine_grassland;Shrub snowbed;I_A4_5;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-It-cont-S2;2;C;alpine_grassland;Shrub snowbed;I_C6_3;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-It-cont-S3;3;C;alpine_grassland;Shrub snowbed;I_E2_2;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-S4;4;C;alpine_grassland;Shrub snowbed;I_C2_3;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-cont-S5;5;C;alpine_grassland;Shrub snowbed;I_G2_2;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-S1;1;OTC;Tundra;Shrub snowbed;I_G6_3;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-S2;2;OTC;alpine_grassland;Shrub snowbed;I_A4_6;2008;16,00
